index,start_frame,end_frame,start_sec,end_sec,duration_sec,start_label,end_label
1,5651,5744,188.3667,191.4667,3.1,03:08.37,03:11.47
2,7222,7408,240.7333,246.9333,6.2,04:00.73,04:06.93
3,7458,7544,248.6,251.4667,2.8667,04:08.60,04:11.47
4,7894,8044,263.1333,268.1333,5.0,04:23.13,04:28.13
5,11324,12132,377.4667,404.4,26.9333,06:17.47,06:44.40
6,12304,12963,410.1333,432.1,21.9667,06:50.13,07:12.10
7,13793,14497,459.7667,483.2333,23.4667,07:39.77,08:03.23
8,15390,15937,513.0,531.2333,18.2333,08:33.00,08:51.23
9,16466,16722,548.8667,557.4,8.5333,09:08.87,09:17.40
10,17035,17646,567.8333,588.2,20.3667,09:27.83,09:48.20
11,18046,18664,601.5333,622.1333,20.6,10:01.53,10:22.13
12,19512,19860,650.4,662.0,11.6,10:50.40,11:02.00
13,21850,22658,728.3333,755.2667,26.9333,12:08.33,12:35.27
14,23027,23252,767.5667,775.0667,7.5,12:47.57,12:55.07
15,24847,25167,828.2333,838.9,10.6667,13:48.23,13:58.90
16,25524,25956,850.8,865.2,14.4,14:10.80,14:25.20
17,26095,26458,869.8333,881.9333,12.1,14:29.83,14:41.93
18,26652,27217,888.4,907.2333,18.8333,14:48.40,15:07.23
19,28230,28975,941.0,965.8333,24.8333,15:41.00,16:05.83
20,29761,30171,992.0333,1005.7,13.6667,16:32.03,16:45.70
21,32132,32911,1071.0667,1097.0333,25.9667,17:51.07,18:17.03
22,33323,34070,1110.7667,1135.6667,24.9,18:30.77,18:55.67
23,34566,35149,1152.2,1171.6333,19.4333,19:12.20,19:31.63
24,36599,37035,1219.9667,1234.5,14.5333,20:19.97,20:34.50
25,38099,39066,1269.9667,1302.2,32.2333,21:09.97,21:42.20
26,39666,40041,1322.2,1334.7,12.5,22:02.20,22:14.70
27,40103,40760,1336.7667,1358.6667,21.9,22:16.77,22:38.67
28,41515,42146,1383.8333,1404.8667,21.0333,23:03.83,23:24.87
29,42914,43428,1430.4667,1447.6,17.1333,23:50.47,24:07.60
30,43895,44226,1463.1667,1474.2,11.0333,24:23.17,24:34.20
31,44664,45001,1488.8,1500.0333,11.2333,24:48.80,25:00.03
32,45185,45864,1506.1667,1528.8,22.6333,25:06.17,25:28.80
33,46618,47436,1553.9333,1581.2,27.2667,25:53.93,26:21.20
34,47837,48524,1594.5667,1617.4667,22.9,26:34.57,26:57.47
35,49866,50910,1662.2,1697.0,34.8,27:42.20,28:17.00
36,54347,55296,1811.5667,1843.2,31.6333,30:11.57,30:43.20
37,55372,55761,1845.7333,1858.7,12.9667,30:45.73,30:58.70
38,56095,56300,1869.8333,1876.6667,6.8333,31:09.83,31:16.67
39,56762,57150,1892.0667,1905.0,12.9333,31:32.07,31:45.00
40,57490,57871,1916.3333,1929.0333,12.7,31:56.33,32:09.03
41,58272,58531,1942.4,1951.0333,8.6333,32:22.40,32:31.03
42,58928,61005,1964.2667,2033.5,69.2333,32:44.27,33:53.50
43,64212,65342,2140.4,2178.0667,37.6667,35:40.40,36:18.07
44,65879,66242,2195.9667,2208.0667,12.1,36:35.97,36:48.07
45,66289,68012,2209.6333,2267.0667,57.4333,36:49.63,37:47.07
46,69406,69784,2313.5333,2326.1333,12.6,38:33.53,38:46.13
47,70975,71841,2365.8333,2394.7,28.8667,39:25.83,39:54.70
48,73408,73876,2446.9333,2462.5333,15.6,40:46.93,41:02.53
49,74665,75073,2488.8333,2502.4333,13.6,41:28.83,41:42.43
50,76985,77359,2566.1667,2578.6333,12.4667,42:46.17,42:58.63
51,77836,78016,2594.5333,2600.5333,6.0,43:14.53,43:20.53
52,81364,81750,2712.1333,2725.0,12.8667,45:12.13,45:25.00
53,82001,82756,2733.3667,2758.5333,25.1667,45:33.37,45:58.53
54,84505,85084,2816.8333,2836.1333,19.3,46:56.83,47:16.13
55,88628,88898,2954.2667,2963.2667,9.0,49:14.27,49:23.27
56,89447,89886,2981.5667,2996.2,14.6333,49:41.57,49:56.20
57,90472,91030,3015.7333,3034.3333,18.6,50:15.73,50:34.33
58,91588,92334,3052.9333,3077.8,24.8667,50:52.93,51:17.80
59,92600,93388,3086.6667,3112.9333,26.2667,51:26.67,51:52.93
60,94342,95257,3144.7333,3175.2333,30.5,52:24.73,52:55.23
61,95561,96458,3185.3667,3215.2667,29.9,53:05.37,53:35.27
62,96804,97158,3226.8,3238.6,11.8,53:46.80,53:58.60
63,100904,101565,3363.4667,3385.5,22.0333,56:03.47,56:25.50
64,102050,103141,3401.6667,3438.0333,36.3667,56:41.67,57:18.03
65,104076,104445,3469.2,3481.5,12.3,57:49.20,58:01.50
66,104874,105680,3495.8,3522.6667,26.8667,58:15.80,58:42.67
67,106262,107300,3542.0667,3576.6667,34.6,59:02.07,59:36.67
68,108134,108931,3604.4667,3631.0333,26.5667,60:04.47,60:31.03
69,110208,110936,3673.6,3697.8667,24.2667,61:13.60,61:37.87
70,111922,112438,3730.7333,3747.9333,17.2,62:10.73,62:27.93
71,112778,113714,3759.2667,3790.4667,31.2,62:39.27,63:10.47
72,113848,114901,3794.9333,3830.0333,35.1,63:14.93,63:50.03
73,115432,115694,3847.7333,3856.4667,8.7333,64:07.73,64:16.47
74,115825,116718,3860.8333,3890.6,29.7667,64:20.83,64:50.60
75,118031,118485,3934.3667,3949.5,15.1333,65:34.37,65:49.50
76,118900,120608,3963.3333,4020.2667,56.9333,66:03.33,67:00.27
77,123922,124533,4130.7333,4151.1,20.3667,68:50.73,69:11.10
78,125154,125914,4171.8,4197.1333,25.3333,69:31.80,69:57.13
79,129636,130070,4321.2,4335.6667,14.4667,72:01.20,72:15.67
80,130416,130831,4347.2,4361.0333,13.8333,72:27.20,72:41.03
81,134098,135081,4469.9333,4502.7,32.7667,74:29.93,75:02.70
82,135911,136458,4530.3667,4548.6,18.2333,75:30.37,75:48.60
83,137010,137200,4567.0,4573.3333,6.3333,76:07.00,76:13.33
84,137574,137990,4585.8,4599.6667,13.8667,76:25.80,76:39.67
85,138980,139732,4632.6667,4657.7333,25.0667,77:12.67,77:37.73
86,141055,141349,4701.8333,4711.6333,9.8,78:21.83,78:31.63
87,141766,142071,4725.5333,4735.7,10.1667,78:45.53,78:55.70
88,143531,143656,4784.3667,4788.5333,4.1667,79:44.37,79:48.53
89,144144,145248,4804.8,4841.6,36.8,80:04.80,80:41.60
90,145534,146434,4851.1333,4881.1333,30.0,80:51.13,81:21.13
91,147029,147267,4900.9667,4908.9,7.9333,81:40.97,81:48.90
92,147736,148356,4924.5333,4945.2,20.6667,82:04.53,82:25.20
93,149170,149588,4972.3333,4986.2667,13.9333,82:52.33,83:06.27
94,150487,151443,5016.2333,5048.1,31.8667,83:36.23,84:08.10
95,152396,152612,5079.8667,5087.0667,7.2,84:39.87,84:47.07
96,153427,153788,5114.2333,5126.2667,12.0333,85:14.23,85:26.27
97,156133,156656,5204.4333,5221.8667,17.4333,86:44.43,87:01.87
98,157456,158097,5248.5333,5269.9,21.3667,87:28.53,87:49.90
99,159251,159820,5308.3667,5327.3333,18.9667,88:28.37,88:47.33
100,167484,167580,5582.8,5586.0,3.2,93:02.80,93:06.00
